"","PermitNum","PermitClass","PermitClassMapped","PermitTypeMapped","PermitTypeDesc","Description","HousingUnits","HousingUnitsRemoved","HousingUnitsAdded","EstProjectCost","AppliedDate","IssuedDate","ExpiresDate","CompletedDate","StatusCurrent","OriginalAddress1","OriginalCity","OriginalState","OriginalZip","ContractorCompanyName","Link","Latitude","Longitude","Location1"
"56447","6737944-DM","Single Family/Duplex","Residential","Demolition","","The existing Single Family residence and associated site improvements (pavement & decks) will be demolished and a new single Family Residence with an Accessory Dwelling Unit will be constructed",1,1,2,4e+05,"","","","","Scheduled","937 N 80TH ST","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6737944-DM",47.68676294,-122.34557291,"937 N 80TH ST
SEATTLE, WA 98103
(47.68676294, -122.34557291)"
"56464","6710764-DM","Single Family/Duplex","Residential","Demolition","","Demolish existing single-family home, per plan.",1,1,0,0,"2019-07-02","","","","Application Completed","6814 19TH AVE NE","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6710764-DM",47.67813681,-122.30741418,"6814 19TH AVE NE
SEATTLE, WA 98115
(47.67813681, -122.30741418)"
"56467","6687782-CN","Single Family/Duplex","Residential","Building","New","Construct south bldg. 2, per plan (Establish use as townhouses and construct 2 two-family dwellings and associated site work, per plans. Reviews and processing for 2 C/N's under 6675024-CN)",1,1,2,302468,"2018-09-10","2019-04-01","2020-10-01","","Issued","1773 16TH AVE S","SEATTLE","WA",98144,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6687782-CN",47.58733288,-122.31292678,"1773 16TH AVE S
SEATTLE, WA 98144
(47.58733288, -122.31292678)"
"56488","6693637-CN","Multifamily","Residential","Building","New","Establish use as rowhouse and construct new townhouse structure, per plan.",1,1,6,1065180,"2019-01-28","2019-07-25","2021-01-25","","Issued","6415 14TH AVE NW","SEATTLE","WA",98107,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6693637-CN",47.675772,-122.37388249,"6415 14TH AVE NW
SEATTLE, WA 98107
(47.675772, -122.37388249)"
"56499","6699226-CN","Single Family/Duplex","Residential","Building","New","Establish use as and construct new single family residence, per plan.",1,1,1,617959,"2019-01-11","2019-06-13","2020-12-13","","Issued","2803 NW 67TH ST","SEATTLE","WA",98117,"DYNA CONTRACTING INC","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6699226-CN",47.67715617,-122.39327972,"2803 NW 67TH ST
SEATTLE, WA 98117
(47.67715617, -122.39327972)"
"56501","6679219-CN","Multifamily","Residential","Building","New","Establish use as townhouse and construct a multifamily building, per plan.",1,1,6,937003,"2018-09-27","2019-07-30","2021-01-30","","Issued","1431 24TH AVE","SEATTLE","WA",98122,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6679219-CN",47.6139342,-122.30172311,"1431 24TH AVE
SEATTLE, WA 98122
(47.6139342, -122.30172311)"
"56513","6668507-DM","Single Family/Duplex","Residential","Demolition","","Demolish existing single family residence, per plans",1,1,0,0,"2018-05-16","2018-09-04","2020-03-04","","Closed","3017 BELVIDERE AVE SW","SEATTLE","WA",98126,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6668507-DM",47.57687734,-122.37964417,"3017 BELVIDERE AVE SW
SEATTLE, WA 98126
(47.57687734, -122.37964417)"
"56519","6693031-CN","Single Family/Duplex","Residential","Building","New","Establish use as and construct single family residence, per plan.",1,1,1,520831,"2019-01-24","2019-04-19","2020-10-19","","Issued","8906 17TH AVE NE","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6693031-CN",47.69332383,-122.3092828,"8906 17TH AVE NE
SEATTLE, WA 98115
(47.69332383, -122.3092828)"
"56520","6706310-DM","Multifamily","Residential","Demolition","","CONSTRUCTION OF 20 TOWNHOMES AND BELOW GRADE PARKING GARAGE WITH 14 STALLS.  INCLUDES DEMOLITION OF EXISTING STRUCTURES.",1,1,20,3500000,"","","","","Additional Info Requested","817 N 50TH ST","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6706310-DM",47.66483609,-122.34771101,"817 N 50TH ST
SEATTLE, WA 98103
(47.66483609, -122.34771101)"
"56521","6603016-CN","Single Family/Duplex","Residential","Building","New","Establish use as and construct a single-family residence, per plans",1,1,1,420575,"2018-04-17","2018-08-14","2020-02-14","2019-07-01","Completed","9007 17TH AVE NE","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6603016-CN",47.69435131,-122.30979045,"9007 17TH AVE NE
SEATTLE, WA 98115
(47.69435131, -122.30979045)"
"56532","6721746-CN","Single Family/Duplex","Residential","Building","New","Establish use as and construct new single family residence, per plan.",1,1,1,464536,"2019-07-01","","","","Corrections Required","8516 9TH AVE NW","SEATTLE","WA",98117,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6721746-CN",47.69125074,-122.36806985,"8516 9TH AVE NW
SEATTLE, WA 98117
(47.69125074, -122.36806985)"
"56533","6688819-CN","Single Family/Duplex","Residential","Building","New","Construct single family residence (southwest building 5), per plans.  (Establish use for 6 single family residences and construct 6 one-family dwellings.  Reviews and processing for 6 construction records under 6682520-CN)",1,1,6,194988,"2018-09-17","2019-05-29","2020-11-29","","Issued","2903 18TH AVE S","SEATTLE","WA",98144,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6688819-CN",47.57768838,-122.30964027,"2903 18TH AVE S
SEATTLE, WA 98144
(47.57768838, -122.30964027)"
"56537","6741107-DM","Single Family/Duplex","Residential","Demolition","","Demolition of existing house and swimming pool.  Construction of new house and swimming pool.",1,1,1,1e+06,"","","","","Additional Info Requested","6451 NE WINDERMERE RD","SEATTLE","WA",98105,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6741107-DM",47.669828,-122.25742717,"6451 NE WINDERMERE RD
SEATTLE, WA 98105
(47.669828, -122.25742717)"
"56547","6709610-DM","Single Family/Duplex","Residential","Demolition","","Demolish existing structures per plan",1,1,0,0,"2019-07-31","2019-08-01","2021-02-01","","Issued","4319 35TH AVE W","SEATTLE","WA",98199,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6709610-DM",47.65921911,-122.40280347,"4319 35TH AVE W
SEATTLE, WA 98199
(47.65921911, -122.40280347)"
"56566","6680713-CN","Multifamily","Residential","Building","New","Establish use as rowhouse and construct new townhouse structure, per plan.",1,1,6,995409,"2018-09-27","2019-05-15","2020-11-15","","Issued","1051 S CLOVERDALE ST","SEATTLE","WA",98108,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6680713-CN",47.52629179,-122.31807733,"1051 S CLOVERDALE ST
SEATTLE, WA 98108
(47.52629179, -122.31807733)"
"56570","6690994-DM","Single Family/Duplex","Residential","Demolition","","Demolish existing single-family residence, per plan.",1,1,1,350000,"2019-04-16","2019-04-17","2020-10-17","","Issued","7508 12TH AVE SW","SEATTLE","WA",98106,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6690994-DM",47.53519016,-122.35003347,"7508 12TH AVE SW
SEATTLE, WA 98106
(47.53519016, -122.35003347)"
"56571","6693296-CN","Single Family/Duplex","Residential","Building","New","Demolition of existing single family residence and construction of new.",1,1,1,280000,"","","","","Scheduled","6512 31ST AVE NE","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6693296-CN",47.67614086,-122.29378897,"6512 31ST AVE NE
SEATTLE, WA 98115
(47.67614086, -122.29378897)"
"56572","6682172-CN","Single Family/Duplex","Residential","Building","New","Establish use as and construct a single family residence , per plans",1,1,1,555452,"2018-12-27","2019-06-17","2020-12-17","","Issued","1931 5TH AVE W","SEATTLE","WA",98119,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6682172-CN",47.63689463,-122.36399846,"1931 5TH AVE W
SEATTLE, WA 98119
(47.63689463, -122.36399846)"
"56585","6666924-CN","Single Family/Duplex","Residential","Building","New","Establish use and construct a single family residence with detached accessory dwelling unit, per plans.",1,1,1,504730,"2018-09-20","2019-06-27","2020-12-27","","Issued","3514 29TH AVE W","SEATTLE","WA",98199,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6666924-CN",47.65186586,-122.3939224,"3514 29TH AVE W
SEATTLE, WA 98199
(47.65186586, -122.3939224)"
"56586","6729597-DM","Single Family/Duplex","Residential","Demolition","","Demolish existing single-family residence, per plan.",1,1,5,0,"","","","","Scheduled","1142 NW 57TH ST","SEATTLE","WA",98107,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6729597-DM",47.67035254,-122.37264343,"1142 NW 57TH ST
SEATTLE, WA 98107
(47.67035254, -122.37264343)"
"56593","6688820-CN","Single Family/Duplex","Residential","Building","New","Construct single family residence (southeast building 6), per plans.  (Establish use for 6 single family residences and construct 6 one-family dwellings.  Reviews and processing for 6 construction records under 6682520-CN)",1,1,6,194988,"2018-09-17","2019-05-29","2020-11-29","","Issued","2905 18TH AVE S","SEATTLE","WA",98144,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6688820-CN",47.57765205,-122.30952845,"2905 18TH AVE S
SEATTLE, WA 98144
(47.57765205, -122.30952845)"
"56594","6726101-DM","Single Family/Duplex","Residential","Demolition","Demolition","Demolish single family residence and accessory structure known as 147 NE 116th St, per plans.",1,1,0,25000,"2019-06-17","2019-08-18","2021-02-18","","Issued","147 NE 116TH ST","SEATTLE","WA",98125,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6726101-DM",47.71245427,-122.32708108,"147 NE 116TH ST
SEATTLE, WA 98125
(47.71245427, -122.32708108)"
"56606","6684483-DM","Single Family/Duplex","Residential","Demolition","Demolition","Demolish single family residence, per plan.",1,1,0,1,"2018-07-31","2018-11-07","2020-05-07","","Issued","352 N 101ST ST","SEATTLE","WA",98133,"HEARTWOOD BUILDERS INC","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6684483-DM",47.70240437,-122.35311262,"352 N 101ST ST
SEATTLE, WA 98133
(47.70240437, -122.35311262)"
"56612","6685451-CN","Single Family/Duplex","Residential","Building","New","Establish use as  and construct single family dwelling with attached garage, per plan.",1,1,1,416410,"2018-10-31","2019-07-10","2021-01-10","","Issued","8518 30TH AVE NW","SEATTLE","WA",98117,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6685451-CN",47.69119634,-122.39554663,"8518 30TH AVE NW
SEATTLE, WA 98117
(47.69119634, -122.39554663)"
"56624","6629710-CN","Single Family/Duplex","Residential","Building","New","Establish use as and construct new single family residence, per plan.",1,1,1,502986,"2018-02-14","2018-06-06","2019-12-06","","Completed","938 NW 63RD ST","SEATTLE","WA",98107,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6629710-CN",47.67476972,-122.37049688,"938 NW 63RD ST
SEATTLE, WA 98107
(47.67476972, -122.37049688)"
"56627","6690991-DM","Multifamily","Residential","Demolition","","DEMOLISH EXISTING STRUCTURE AND CONSTRUCT NEW MULTIFAMILY BUILDING",1,1,14,1500000,"","","","","Additional Info Requested","1010 E SPRUCE ST","SEATTLE","WA",98122,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6690991-DM",47.60370261,-122.31885453,"1010 E SPRUCE ST
SEATTLE, WA 98122
(47.60370261, -122.31885453)"
"56630","6608198-DM","Single Family/Duplex","Residential","Demolition","Demolition","Demolish existing single family residential structure, per plan.",1,1,0,0,"2018-09-07","2018-12-04","2020-06-04","2019-02-08","Closed","5058 50TH AVE S","SEATTLE","WA",98118,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6608198-DM",47.5553201,-122.27073171,"5058 50TH AVE S
SEATTLE, WA 98118
(47.5553201, -122.27073171)"
"56636","6701160-DM","Single Family/Duplex","Residential","Demolition","","Demolish existing single-family residence, per plan.",1,1,0,0,"2019-02-05","","","","Application Completed","5916 FAUNTLEROY WAY SW","SEATTLE","WA",98136,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6701160-DM",47.54969976,-122.3827013,"5916 FAUNTLEROY WAY SW
SEATTLE, WA 98136
(47.54969976, -122.3827013)"
"56644","6735769-CN","Single Family/Duplex","Residential","Building","New","Lot Boundary Adjustment based on underlying lot line to establish two parcels. Construct duplex rowhouse on south parcel and 5 unit townhouse on north parcel. Existing SFR and garage to be demolished.",1,1,7,8e+05,"","","","","Scheduled","1472 NW 80TH ST","SEATTLE","WA",98117,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6735769-CN",47.68709133,-122.37571668,"1472 NW 80TH ST
SEATTLE, WA 98117
(47.68709133, -122.37571668)"
"56649","6711475-DM","Single Family/Duplex","Residential","Demolition","Demolition","Demolish existing structure for future construction, per plan.",1,1,1,0,"2019-02-06","","","","Application Completed","3825 46TH AVE NE","SEATTLE","WA",98105,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6711475-DM",47.65622238,-122.27895728,"3825 46TH AVE NE
SEATTLE, WA 98105
(47.65622238, -122.27895728)"
"56661","6709982-CN","Single Family/Duplex","Residential","Building","New","Demo existing home.  Construct new single family home.",1,1,1,1e+06,"","","","","Additional Info Requested","7750 22ND AVE NE","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6709982-CN",47.68623868,-122.30395811,"7750 22ND AVE NE
SEATTLE, WA 98115
(47.68623868, -122.30395811)"
"56674","6735798-CN","Multifamily","Residential","Building","New","DEMOLISH EXISTING HOUSE.  CONSTRUCT FIVE TOWNHOMES.  NO AUTO PARKING PROVIDED.",1,1,5,1200000,"","","","","Additional Info Requested","227 22ND AVE E","SEATTLE","WA",98112,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6735798-CN",47.62102178,-122.30393488,"227 22ND AVE E
SEATTLE, WA 98112
(47.62102178, -122.30393488)"
"56684","6693641-DM","Single Family/Duplex","Residential","Demolition","","Demolish existing building, per plans",1,1,1,0,"2018-10-12","2019-06-13","2020-12-13","","Issued","2552 25TH AVE W","SEATTLE","WA",98199,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6693641-DM",47.64247482,-122.38869347,"2552 25TH AVE W
SEATTLE, WA 98199
(47.64247482, -122.38869347)"
"56691","6705633-DM","Single Family/Duplex","Residential","Demolition","","Demolish existing single-family residence, carport, and deck, per plan.",1,1,1,0,"2019-03-14","2019-07-15","2021-01-15","","Issued","3011 NW 60TH ST","SEATTLE","WA",98107,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6705633-DM",47.67204509,-122.3964413,"3011 NW 60TH ST
SEATTLE, WA 98107
(47.67204509, -122.3964413)"
"56699","6648552-CN","Single Family/Duplex","Residential","Building","New","Establish use as and construct new single family residence, per plan.",1,1,1,487904,"2018-06-19","2018-12-07","2020-06-07","","Issued","1920 30TH AVE S","SEATTLE","WA",98144,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6648552-CN",47.58567107,-122.29376527,"1920 30TH AVE S
SEATTLE, WA 98144
(47.58567107, -122.29376527)"
"56700","6701102-DM","Multifamily","Residential","Demolition","","Demolish existing structure, per plan",1,1,5,866250,"2018-11-28","","","","Reviews Completed","1526 13TH AVE S","SEATTLE","WA",98144,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6701102-DM",47.58916983,-122.3157095,"1526 13TH AVE S
SEATTLE, WA 98144
(47.58916983, -122.3157095)"
"56708","6728747-DM","Single Family/Duplex","Residential","Demolition","","Demo existing single family residence and associated accessory structure(s).  Construct (3) SFRs with (3) open surface parking stalls.  Future unit lot subdivision.",1,1,3,1500000,"","","","","Additional Info Requested","2438 NW 64TH ST","SEATTLE","WA",98107,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6728747-DM",47.67547149,-122.38935263,"2438 NW 64TH ST
SEATTLE, WA 98107
(47.67547149, -122.38935263)"
"56712","6628707-DM","Single Family/Duplex","Residential","Demolition","Demolition","Demolish existing apartment located at 506 12th Ave E, per plans.",1,1,0,0,"2017-11-08","","","","Ready for Issuance","516 12TH AVE E","SEATTLE","WA",98102,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6628707-DM",47.62371336,-122.31634286,"516 12TH AVE E
SEATTLE, WA 98102
(47.62371336, -122.31634286)"
"56720","6669816-DM","Multifamily","Residential","Demolition","","Demolish existing single family residence, subject to field inspection (STFI).",1,1,0,0,"2018-07-10","2019-05-22","2020-11-22","","Issued","1311 W NEWTON ST","SEATTLE","WA",98119,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6669816-DM",47.63660327,-122.37451602,"1311 W NEWTON ST
SEATTLE, WA 98119
(47.63660327, -122.37451602)"
"56737","6694042-CN","Single Family/Duplex","Residential","Building","New","Construct duplex, per plan. (Establish use as and construct one single family residence and one townhouse, per plan. Review & process for 2 records under # 6689843-CN).",1,1,3,335304,"2018-10-16","","","","Application Completed","1818 E FIR ST","SEATTLE","WA",98122,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6694042-CN",47.60287637,-122.30812715,"1818 E FIR ST
SEATTLE, WA 98122
(47.60287637, -122.30812715)"
"56749","6721878-CN","Single Family/Duplex","Residential","Building","New","Establish use as and construct single family residence with attached accessory dwelling unit, per plan.",1,1,1,588746,"2019-08-06","","","","Reviews In Process","7702 38TH AVE NE","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6721878-CN",47.685022,-122.2871179,"7702 38TH AVE NE
SEATTLE, WA 98115
(47.685022, -122.2871179)"
"56761","6712169-CN","Multifamily","Residential","Building","Addition/Alteration","Change use from residential to retail and construct alterations in existing multifamily structure in unit # 8, occupy per plan.",8,1,0,25000,"2019-06-11","","","","Reviews In Process","9201 GREENWOOD AVE N","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6712169-CN",47.69619472,-122.35574291,"9201 GREENWOOD AVE N
SEATTLE, WA 98103
(47.69619472, -122.35574291)"
"56767","6721819-DM","Multifamily","Residential","Demolition","","Two new Townhouse buildings, each with seven units.",1,1,14,1899639,"","","","","Additional Info Requested","7508 43RD AVE S","SEATTLE","WA",98118,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6721819-DM",47.53490248,-122.27895794,"7508 43RD AVE S
SEATTLE, WA 98118
(47.53490248, -122.27895794)"
"56776","6727777-DM","Single Family/Duplex","Residential","Demolition","Demolition","Demolish existing single family residence for future construction, per plan.",1,1,5,0,"2019-05-17","","","","Application Completed","9224 20TH AVE SW","SEATTLE","WA",98106,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6727777-DM",47.52026046,-122.35890698,"9224 20TH AVE SW
SEATTLE, WA 98106
(47.52026046, -122.35890698)"
"56778","6706268-CN","Single Family/Duplex","Residential","Building","New","Demolish existing house, construct new single-family house",1,1,1,435000,"","","","","Scheduled","2146 NE 81ST PL","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6706268-CN",47.68797824,-122.30365929,"2146 NE 81ST PL
SEATTLE, WA 98115
(47.68797824, -122.30365929)"
"56782","6713515-DM","Single Family/Duplex","Residential","Demolition","Demolition","A new two story single family residence, with basement and attached garage.",1,1,1,515000,"","","","","Closed","1051 26TH AVE E","SEATTLE","WA",98112,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6713515-DM",47.62836396,-122.29919681,"1051 26TH AVE E
SEATTLE, WA 98112
(47.62836396, -122.29919681)"
"56788","6666057-DM","Single Family/Duplex","Residential","Demolition","","Demolish existing single-family residence, per plan.",1,1,1,0,"2018-05-03","2018-10-15","2020-04-15","","Issued","134 N 73RD ST","SEATTLE","WA",98103,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6666057-DM",47.68206609,-122.35659196,"134 N 73RD ST
SEATTLE, WA 98103
(47.68206609, -122.35659196)"
"56795","6728703-CN","Multifamily","Residential","Building","New","DEMOLISH EXISTING SINGLE FAMILY RESIDENCE AND CONSTRUCT 8 NEW TOWNHOUSE UNITS WITH 7 SURFACE PARKING STALLS",1,1,8,1500000,"","","","","Scheduled","8039 MARY AVE NW","SEATTLE","WA",98117,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6728703-CN",47.68810952,-122.37578587,"8039 MARY AVE NW
SEATTLE, WA 98117
(47.68810952, -122.37578587)"
"56807","6699764-CN","Single Family/Duplex","Residential","Building","New","Establish use as single family residence and construct one family dwelling, per plans.",1,1,1,598260,"2019-02-12","2019-08-07","2021-02-07","","Issued","3603 29TH AVE W","SEATTLE","WA",98199,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6699764-CN",47.65244488,-122.39457107,"3603 29TH AVE W
SEATTLE, WA 98199
(47.65244488, -122.39457107)"
"56823","6739541-CN","Institutional","Non-Residential","Building","New","We own and operate the child care center located at 3012 NE 55th St. We have purchased the adjacent single family home located at 5509 31st Ave NE and would like to demolish the existing building and construct a new basement + main level building that will contain two child care classrooms for 2 and 3 year old children. Our existing location serves 35 children between 2 and 5 years old, and we have over 150 children on our waiting list who live in the area and are looking for child care.",1,1,0,4e+05,"","","","","Additional Info Requested","5509 31ST AVE NE","SEATTLE","WA",98105,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6739541-CN",47.66888958,-122.29415511,"5509 31ST AVE NE
SEATTLE, WA 98105
(47.66888958, -122.29415511)"
"56837","6708010-CN","Multifamily","Residential","Building","New","DEMO EXISTING STRUCTURE. CONSTRUCT 8TH NOT TO EXCEED 8,000 SF OF FAR. NO PARKING PROPOSED.",1,1,8,1220000,"","","","","Scheduled","1801 20TH AVE","SEATTLE","WA",98122,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6708010-CN",47.61781953,-122.30645621,"1801 20TH AVE
SEATTLE, WA 98122
(47.61781953, -122.30645621)"
"56846","6736089-DM","Multifamily","Residential","Demolition","","CONSTRUCT MULTI-FAMILY STRUCTURE CONTAINING 6 TOWNHOUSE UNITS AND PARKING FOR 4 SPACES OFF EXISTING ALLEY. INCLUDES DEMO OF EXISTING SINGLE FAMILY HOUSE.",1,1,6,1200000,"","","","","Additional Info Requested","6318 41ST AVE SW","SEATTLE","WA",98136,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6736089-DM",47.5460626,-122.38423536,"6318 41ST AVE SW
SEATTLE, WA 98136
(47.5460626, -122.38423536)"
"56849","6675220-DM","Single Family/Duplex","Residential","Demolition","Demolition","Demolish existing single family residence, per plan.",1,1,0,0,"2018-06-25","2019-04-22","2020-10-22","","Issued","2027 DEXTER AVE N","SEATTLE","WA",98109,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6675220-DM",47.63734371,-122.34352836,"2027 DEXTER AVE N
SEATTLE, WA 98109
(47.63734371, -122.34352836)"
"56857","6698493-DM","Single Family/Duplex","Residential","Demolition","","Create a short plat. Construct 3-unit rowhouse on front lot with 3 surface parking. Construct a single family residence on the back lot with one surface parking. Demo existing residence.",1,1,4,777000,"","","","","Scheduled","2213 NW 63RD ST","SEATTLE","WA",98107,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6698493-DM",47.67440426,-122.38542809,"2213 NW 63RD ST
SEATTLE, WA 98107
(47.67440426, -122.38542809)"
"56858","6721989-CN","Single Family/Duplex","Residential","Building","New","Establish use as and construct new single family residence, per plan.",1,1,1,510013,"2019-07-10","","","","Corrections Required","9834 32ND AVE SW","SEATTLE","WA",98126,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6721989-CN",47.51463448,-122.37294184,"9834 32ND AVE SW
SEATTLE, WA 98126
(47.51463448, -122.37294184)"
"56862","6704070-DM","Single Family/Duplex","Residential","Demolition","","Demolish existing single family residence, per plans.",0,1,0,4e+05,"2018-12-17","","","","Application Completed","4146 49TH AVE SW","SEATTLE","WA",98116,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6704070-DM",47.56531227,-122.39447958,"4146 49TH AVE SW
SEATTLE, WA 98116
(47.56531227, -122.39447958)"
"56877","6708671-CN","Single Family/Duplex","Residential","Building","New","Demolish existing singlfamily dwelling and build 3 new town homes",1,1,3,750000,"","","","","Scheduled","3017 HARBOR AVE SW","SEATTLE","WA",98126,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6708671-CN",47.57694264,-122.37172916,"3017 HARBOR AVE SW
SEATTLE, WA 98126
(47.57694264, -122.37172916)"
"56889","6720755-DM","Multifamily","Residential","Demolition","Demolition","Demo of existing single family residence and change to dependent",1,1,6,0,"2019-05-02","","","","Reviews Completed","2606 E YESLER WAY","SEATTLE","WA",98122,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6720755-DM",47.60187381,-122.29850594,"2606 E YESLER WAY
SEATTLE, WA 98122
(47.60187381, -122.29850594)"
"56900","6715061-DM","Single Family/Duplex","Residential","Demolition","","Demolish existing building, per plans",1,1,1,0,"2019-03-01","","","","Reviews Completed","1520 27TH AVE","SEATTLE","WA",98122,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6715061-DM",47.61480929,-122.2972189,"1520 27TH AVE
SEATTLE, WA 98122
(47.61480929, -122.2972189)"
"56905","6722127-DM","Single Family/Duplex","Residential","Demolition","","Floating Home Replacement",1,1,1,157800,"","","","","Additional Info Requested","2019 FAIRVIEW AVE E","SEATTLE","WA",98102,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6722127-DM",47.63725687,-122.33070879,"2019 FAIRVIEW AVE E
SEATTLE, WA 98102
(47.63725687, -122.33070879)"
"56924","6703020-DM","Single Family/Duplex","Residential","Demolition","Demolition","Demolish existing single-family home, per plan.",1,1,1,428000,"","","","","Ready for Intake","9702 4TH AVE NW","SEATTLE","WA",98117,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6703020-DM",47.69985581,-122.36173727,"9702 4TH AVE NW
SEATTLE, WA 98117
(47.69985581, -122.36173727)"
"56929","6696257-CN","Single Family/Duplex","Residential","Building","New","Establish use as and construct new single family residence, per plan.",1,1,1,557180,"2019-02-15","2019-08-05","2021-02-05","","Issued","6772 48TH AVE SW","SEATTLE","WA",98136,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6696257-CN",47.54128433,-122.39553797,"6772 48TH AVE SW
SEATTLE, WA 98136
(47.54128433, -122.39553797)"
"56937","6708905-DM","Single Family/Duplex","Residential","Demolition","","Demolish existing structures, per plan",1,1,1,550000,"2019-04-15","2019-07-18","2021-01-18","","Issued","810 NE 69TH ST","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6708905-DM",47.67895262,-122.3195531,"810 NE 69TH ST
SEATTLE, WA 98115
(47.67895262, -122.3195531)"
